voter_reg_num,county_desc,race,ethnicity,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000198248,ALEXANDER,WHITE,,F,42,HIDDENITE,NC,28636,UNA,1,0,1
000000210332,ALEXANDER,WHITE,,M,38,TAYLORSVILLE,NC,28681,REP,1,1,1
000000028100,ALEXANDER,WHITE,,M,69,STONY POINT,NC,28678,DEM,1,1,1
000000008974,ALEXANDER,WHITE,,F,66,TAYLORSVILLE,NC,28681,REP,0,0,0
000000189459,ALEXANDER,WHITE,,M,47,TAYLORSVILLE,NC,28681,REP,1,1,1
000000202263,ALEXANDER,WHITE,,F,37,GRANITE FALLS,NC,28630,DEM,0,0,0
000000025082,ALEXANDER,WHITE,,M,43,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000196833,ALEXANDER,BLACK or AFRICAN AMERICAN,,M,73,TAYLORSVILLE,NC,28681,DEM,1,1,0
000000028101,ALEXANDER,WHITE,,F,69,STONY POINT,NC,28678,DEM,1,1,0
000000209896,ALEXANDER,WHITE,,M,39,GRANITE FALLS,NC,28630,REP,0,0,0
000000206526,ALEXANDER,WHITE,,F,61,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000029130,ALEXANDER,WHITE,,F,45,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000008975,ALEXANDER,WHITE,,M,68,TAYLORSVILLE,NC,28681,REP,0,0,0
000000206324,ALEXANDER,WHITE,,M,64,TAYLORSVILLE,NC,28681,REP,1,1,1
000000020568,ALEXANDER,WHITE,,F,54,TAYLORSVILLE,NC,28681,REP,1,1,1
000000021585,ALEXANDER,WHITE,,M,48,STONY POINT,NC,28678,UNA,1,1,1
000000201910,ALEXANDER,WHITE,,M,67,TAYLORSVILLE,NC,28681,REP,1,1,1
000000197643,ALEXANDER,WHITE,,F,45,TAYLORSVILLE,NC,28681,REP,1,1,1
000000026167,ALEXANDER,WHITE,,M,52,TAYLORSVILLE,NC,28681,REP,1,1,1
